Run Date,Wednesday, October 18, 2023 3:35 PM,,
Process Type,Regional Picking,,,,
Operator,Molecular Devices,,,,
,,,,,
,,,,,
Annotations:,,,,,
Date,Operator,Annotation,,,
Wednesday, October 18, 2023 3:35 PM,Molecular Devices,Regional Picking carried out on 10/18/2023 at 3:35:58 PM by Molecular Devices,
,,,,,
,,,,,
,,,,,
Source Barcode,Source Region,Feature Position X,Feature Position Y,Destination Barcode,Destination Well
Auto6383323922827121923,A1,20.4632,39.7936,Auto6383324009004391294,A1
Auto6383323922827121923,A1,24.4904,32.858,Auto6383324009004391294,B1
Auto6383323922827121923,A1,13.9615,23.897,Auto6383324009004391294,C1
Auto6383323922827121923,A1,16.574,22.9272,Auto6383324009004391294,D1
Auto6383323922827121923,A2,38.4875,40.111,Auto6383324009004391294,E1
Auto6383323922827121923,A2,41.7827,33.7715,Auto6383324009004391294,F1
Auto6383323922827121923,A2,42.755,29.9751,Auto6383324009004391294,G1
Auto6383323922827121923,A2,45.5202,22.6868,Auto6383324009004391294,H1
Auto6383323922827121923,A3,64.0274,34.2537,Auto6383324009004391294,A2
Auto6383323922827121923,A3,66.8251,33.8073,Auto6383324009004391294,B2
Auto6383323922827121923,A3,79.8977,26.1755,Auto6383324009004391294,C2
Auto6383323922827121923,A3,66.4348,23.8304,Auto6383324009004391294,D2
Auto6383323922827121923,A4,101.723,32.7698,Auto6383324009004391294,E2
Auto6383323922827121923,A4,104.257,30.8316,Auto6383324009004391294,F2
Auto6383323922827121923,A4,100.462,26.8177,Auto6383324009004391294,G2
Auto6383323922827121923,A4,95.9282,24.2732,Auto6383324009004391294,H2
Auto6383323922827121923,A5,131.166,30.9912,Auto6383324009004391294,A3
Auto6383323922827121923,A5,126.168,27.4509,Auto6383324009004391294,B3
Auto6383323922827121923,A5,125.514,23.7415,Auto6383324009004391294,C3
Auto6383323922827121923,A5,131.466,19.4875,Auto6383324009004391294,D3
Auto6383323922827121923,A6,163.872,37.4052,Auto6383324009004391294,E3
Auto6383323922827121923,A6,153.006,37.2658,Auto6383324009004391294,F3
Auto6383323922827121923,A6,149.666,34.0318,Auto6383324009004391294,G3
Auto6383323922827121923,A6,160.322,21.565,Auto6383324009004391294,H3
Auto6383323922827121923,A7,182.742,40.3814,Auto6383324009004391294,A4
Auto6383323922827121923,A7,184.785,27.6344,Auto6383324009004391294,B4
Auto6383323922827121923,A7,180.246,23.6341,Auto6383324009004391294,C4
Auto6383323922827121923,A7,188.473,22.7842,Auto6383324009004391294,D4
Auto6383323922827121923,A8,218.321,29.2102,Auto6383324009004391294,E4
Auto6383323922827121923,A8,221.808,27.5596,Auto6383324009004391294,F4
Auto6383323922827121923,A8,211.397,23.8606,Auto6383324009004391294,G4
Auto6383323922827121923,A8,206.243,20.7932,Auto6383324009004391294,H4
Auto6383323922827121923,B2,54.5351,76.1751,Auto6383324009004391294,A5
Auto6383323922827121923,B2,46.4907,61.1277,Auto6383324009004391294,B5
Auto6383323922827121923,B2,40.6593,58.0048,Auto6383324009004391294,C5
Auto6383323922827121923,B2,54.2657,57.2223,Auto6383324009004391294,D5
Auto6383323922827121923,B3,75.058,76.3777,Auto6383324009004391294,E5
Auto6383323922827121923,B3,67.3184,73.5366,Auto6383324009004391294,F5
Auto6383323922827121923,B3,78.8181,70.754,Auto6383324009004391294,G5
Auto6383323922827121923,B3,66.3333,63.9438,Auto6383324009004391294,H5
Auto6383323922827121923,B4,101.204,68.3279,Auto6383324009004391294,A6
Auto6383323922827121923,B4,110.791,67.4058,Auto6383324009004391294,B6
Auto6383323922827121923,B4,96.3097,62.1795,Auto6383324009004391294,C6
Auto6383323922827121923,B4,106.99,57.5253,Auto6383324009004391294,D6
Auto6383323922827121923,B5,138.47,65.2967,Auto6383324009004391294,E6
Auto6383323922827121923,B5,132.362,64.0122,Auto6383324009004391294,F6
Auto6383323922827121923,B5,127.979,57.3608,Auto6383324009004391294,G6
Auto6383323922827121923,B5,127.463,55.0806,Auto6383324009004391294,H6
Auto6383323922827121923,B6,148.981,63.2468,Auto6383324009004391294,A7
Auto6383323922827121923,B6,148.668,61.115,Auto6383324009004391294,B7
Auto6383323922827121923,B6,157.439,58.7544,Auto6383324009004391294,C7
Auto6383323922827121923,B6,148.335,58.5978,Auto6383324009004391294,D7
Auto6383323922827121923,B7,180.228,59.7532,Auto6383324009004391294,E7
Auto6383323922827121923,B7,177.905,59.0235,Auto6383324009004391294,F7
Auto6383323922827121923,B7,184.041,55.298,Auto6383324009004391294,G7
Auto6383323922827121923,B7,181.38,51.3695,Auto6383324009004391294,H7
Auto6383323922827121923,B8,221.314,63.4723,Auto6383324009004391294,A8
Auto6383323922827121923,B8,217.684,61.9478,Auto6383324009004391294,B8
Auto6383323922827121923,B8,208.192,58.1502,Auto6383324009004391294,C8
Auto6383323922827121923,B8,217.49,56.075,Auto6383324009004391294,D8
Auto6383323922827121923,C2,44.566,91.2418,Auto6383324009004391294,E8
Auto6383323922827121923,C2,49.5441,89.017,Auto6383324009004391294,F8
Auto6383323922827121923,C2,46.6294,85.3795,Auto6383324009004391294,G8
Auto6383323922827121923,C2,43.4547,85.4576,Auto6383324009004391294,H8
Auto6383323922827121923,C3,82.9211,103.764,Auto6383324009004391294,A9
Auto6383323922827121923,C3,74.8955,90.8803,Auto6383324009004391294,B9
Auto6383323922827121923,C3,70.8118,87.947,Auto6383324009004391294,C9
Auto6383323922827121923,C3,66.7744,85.7478,Auto6383324009004391294,D9
Auto6383323922827121923,C4,100.26,104.402,Auto6383324009004391294,E9
Auto6383323922827121923,C5,127.212,104.343,Auto6383324009004391294,F9
Auto6383323922827121923,C5,123.096,101.424,Auto6383324009004391294,G9
Auto6383323922827121923,C5,132.29,94.5751,Auto6383324009004391294,H9
Auto6383323922827121923,C5,132.235,88.3895,Auto6383324009004391294,A10
Auto6383323922827121923,C6,163.999,93.1876,Auto6383324009004391294,B10
Auto6383323922827121923,C6,161.488,87.4412,Auto6383324009004391294,C10
Auto6383323922827121923,C6,155.872,86.8288,Auto6383324009004391294,D10
Auto6383323922827121923,C6,161.959,85.1596,Auto6383324009004391294,E10
Auto6383323922827121923,C7,183.118,105.279,Auto6383324009004391294,F10
Auto6383323922827121923,C7,189.154,102.409,Auto6383324009004391294,G10
Auto6383323922827121923,C7,183.014,96.1826,Auto6383324009004391294,H10
Auto6383323922827121923,C7,179.595,90.2345,Auto6383324009004391294,A11
Auto6383323922827121923,C8,214.679,99.2928,Auto6383324009004391294,B11
Auto6383323922827121923,C8,205.855,91.5158,Auto6383324009004391294,C11
Auto6383323922827121923,C8,203.706,90.8606,Auto6383324009004391294,D11
Auto6383323922827121923,C8,218.375,85.2362,Auto6383324009004391294,E11
Auto6383323922827121923,D3,74.2433,135.104,Auto6383324009004391294,F11
Auto6383323922827121923,D3,75.8986,129.419,Auto6383324009004391294,G11
Auto6383323922827121923,D3,74.274,125.448,Auto6383324009004391294,H11
Auto6383323922827121923,D3,68.8834,124.855,Auto6383324009004391294,A12
Auto6383323922827121923,D4,98.4977,143.6,Auto6383324009004391294,B12
Auto6383323922827121923,D4,108.432,137.77,Auto6383324009004391294,C12
Auto6383323922827121923,D4,107.984,131.703,Auto6383324009004391294,D12
Auto6383323922827121923,D4,103.485,122.775,Auto6383324009004391294,E12
Auto6383323922827121923,D5,122.716,139.979,Auto6383324009004391294,F12
Auto6383323922827121923,D5,127.851,134.41,Auto6383324009004391294,G12
Auto6383323922827121923,D5,122.024,134.379,Auto6383324009004391295,A1
Auto6383323922827121923,D5,123.439,124.659,Auto6383324009004391295,B1
Auto6383323922827121923,D6,149.245,141.225,Auto6383324009004391295,C1
Auto6383323922827121923,D6,161.996,138.73,Auto6383324009004391295,D1
Auto6383323922827121923,D6,156.893,137.167,Auto6383324009004391295,E1
Auto6383323922827121923,D6,150.364,133.768,Auto6383324009004391295,F1
Auto6383323922827121923,D7,187.916,134.284,Auto6383324009004391295,G1
Auto6383323922827121923,D7,182.317,128.318,Auto6383324009004391295,H1
Auto6383323922827121923,D7,194.255,126.358,Auto6383324009004391295,A2
Auto6383323922827121923,D7,185.448,123.356,Auto6383324009004391295,B2
Auto6383323922827121923,D8,215.519,142.012,Auto6383324009004391295,C2
Auto6383323922827121923,D8,217.476,135.594,Auto6383324009004391295,D2
Auto6383323922827121923,D8,218.746,129.965,Auto6383324009004391295,E2
Auto6383323922827121923,D8,213.548,121.581,Auto6383324009004391295,F2